DATE,POS,NAME,TEAM,H/A,OPP,FANDUEL_REB_LINE,FANDUEL_REBUNDER,FANDUEL_REBOVER
2024-12-16,C,Jalen Duren,Pistons,vs,Heat,9.5,-134,110
2024-12-16,F,Evan Mobley,Cavaliers,@,Nets,8.5,110,-134
2024-12-16,C,Nic Claxton,Nets,vs,Cavaliers,8.5,-148,120
2024-12-16,F,John Collins,Jazz,@,Clippers,8.5,-148,120
2024-12-16,G,RJ Barrett,Raptors,vs,Bulls,7.5,-144,118
2024-12-16,C,Mark Williams,Hornets,vs,76ers,6.5,-104,-118
2024-12-16,G,Cade Cunningham,Pistons,vs,Heat,6.5,-105,-115
2024-12-16,G,Josh Giddey,Bulls,@,Raptors,6.5,-128,104
2024-12-16,F,Lauri Markkanen,Jazz,@,Clippers,6.5,-150,122
2024-12-16,F,Jonathan Mogbo,Raptors,vs,Bulls,6.5,106,-130
2024-12-16,F,Keegan Murray,Kings,vs,Nuggets,6.5,-115,-105
2024-12-16,F,Michael Porter,Nuggets,@,Kings,5.5,118,-144
2024-12-16,F,Miles Bridges,Hornets,vs,76ers,5.5,-110,-110
2024-12-16,F,Jimmy Butler,Heat,@,Pistons,5.5,-128,104
2024-12-16,F,Paul George,76ers,@,Hornets,5.5,-106,-114
2024-12-16,F,Aaron Gordon,Nuggets,@,Kings,5.5,-110,-110
2024-12-16,G,James Harden,Clippers,vs,Jazz,5.5,-120,-102
2024-12-16,G,Tyler Herro,Heat,@,Pistons,4.5,104,-128
2024-12-16,G,Brandon Miller,Hornets,vs,76ers,5.5,-148,120
2024-12-16,G,Kelly Oubre,76ers,@,Hornets,5.5,-108,-112
2024-12-16,G,Ben Simmons,Nets,vs,Cavaliers,5.5,-104,-118
2024-12-16,F,Ochai Agbaji,Raptors,vs,Bulls,4.5,-154,126
2024-12-16,G,LaMelo Ball,Hornets,vs,76ers,3.5,126,-154
2024-12-16,F,Dorian Finney-Smith,Nets,vs,Cavaliers,4.5,-162,132
2024-12-16,G,De'Aaron Fox,Kings,vs,Nuggets,4.5,-130,106
2024-12-16,F,Cameron Johnson,Nets,vs,Cavaliers,4.5,-148,120
2024-12-16,F,KJ Martin,76ers,@,Hornets,4.5,-152,124
2024-12-16,G,Donovan Mitchell,Cavaliers,@,Nets,4.5,-130,106
2024-12-16,G,Christian Braun,Nuggets,@,Kings,3.5,126,-154
2024-12-16,F,DeMar DeRozan,Kings,vs,Nuggets,3.5,-110,-110
2024-12-16,G,Gradey Dick,Raptors,vs,Bulls,3.5,-134,110
2024-12-16,F,Ayo Dosunmu,Bulls,@,Raptors,3.5,-134,110
2024-12-16,G,Kris Dunn,Clippers,vs,Jazz,3.5,-120,-102
2024-12-16,F,Haywood Highsmith,Heat,@,Pistons,3.5,-128,104
2024-12-16,G,Tyrese Maxey,76ers,@,Hornets,3.5,108,-132
2024-12-16,G,Malik Monk,Kings,vs,Nuggets,3.5,-106,-114
2024-12-16,G,Jamal Murray,Nuggets,@,Kings,3.5,-106,-114
2024-12-16,G,Coby White,Bulls,@,Raptors,3.5,-110,-110
2024-12-16,G,Malik Beasley,Pistons,vs,Heat,2.5,116,-142
2024-12-16,G,Keyonte George,Jazz,@,Clippers,2.5,120,-148
2024-12-16,F,Norman Powell,Clippers,vs,Jazz,2.5,120,-148
2024-12-16,G,Duncan Robinson,Heat,@,Pistons,2.5,-122,100
